Product,Date,Revenue,Cost,Quantity,Inventory
Widget Pro,2024-01-05,8500,4800,170,400
Widget Pro,2024-02-05,9200,5100,184,380
Widget Pro,2024-03-05,7800,4400,156,410
Gadget X,2024-01-10,3200,2800,64,500
Gadget X,2024-02-10,2900,2600,58,480
Gadget X,2024-03-10,2600,2500,52,460
SuperTool,2024-01-15,12000,5500,200,300
SuperTool,2024-02-15,14000,6200,233,280
SuperTool,2024-03-15,11500,5300,192,310
Budget Item,2024-01-20,1200,1150,120,800
Budget Item,2024-02-20,1100,1080,110,780
Budget Item,2024-03-20,900,890,90,760
FastMover,2024-01-25,6700,3200,335,50
FastMover,2024-02-25,7200,3400,360,30
FastMover,2024-03-25,8100,3800,405,10
